# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	946182	612717	333465	359740	0	0	359740
AF	0	0.190000	682092	449738	232354	228145	0	0	228145
AF	0	0.240000	51131	29908	21223	27536	0	0	27536
AF	0	0.280000	485	264	221	597	0	0	597
AF	0	0.290000	805839	536223	269616	225516	0	0	225516
AF	0	0.330000	20120	10038	10082	11051	0	0	11051
AF	0	0.370000	37113	21732	15381	18504	0	0	18504
AF	0	0.390000	624163	414281	209882	167620	0	0	167620
AF	0	0.420000	564	327	237	413	0	0	413
AF	0	0.490000	583459	371470	211989	151506	0	0	151506
AF	0	0.560000	323	177	146	378	0	0	378
AF	0	0.590000	416707	277860	138847	102334	0	0	102334
AF	0	0.610000	24846	14895	9951	9397	0	0	9397
AF	0	0.660000	12938	6748	6190	3832	0	0	3832
AF	0	0.690000	396449	265542	130907	88440	0	0	88440
AF	0	0.700000	276	146	130	209	0	0	209
AF	0	0.740000	32723	18667	14056	9273	0	0	9273
AF	0	0.790000	252369	167580	84789	57482	0	0	57482
AF	0	0.820000	6839	3468	3371	1671	0	0	1671
AF	0	0.840000	833	498	335	182	0	0	182
AF	0	0.860000	18482	11324	7158	5096	0	0	5096
AF	0	0.890000	248905	166113	82792	53403	0	0	53403
AF	0	0.990000	886345	568925	317420	141693	0	0	141693
