# DP, Depth distribution
# DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	0	370500	1.013416	0	0.000000
DP	0	1	411974	1.126859	35058	0.474494
DP	0	2	294449	0.805397	29887	0.404507
DP	0	3	245100	0.670414	23152	0.313352
DP	0	4	280801	0.768066	18372	0.248656
DP	0	5	253239	0.692676	15877	0.214888
DP	0	6	248274	0.679096	13817	0.187007
DP	0	7	297014	0.812413	12392	0.167720
DP	0	8	300651	0.822361	11255	0.152331
DP	0	9	324265	0.886951	10677	0.144508
DP	0	10	418807	1.145549	9914	0.134181
DP	0	11	476918	1.304498	9499	0.128565
DP	0	12	537738	1.470857	9258	0.125303
DP	0	13	617361	1.688647	8668	0.117317
DP	0	14	865330	2.366908	8570	0.115991
DP	0	15	1079925	2.953883	8389	0.113541
DP	0	16	1215216	3.323940	8219	0.111240
DP	0	17	1345494	3.680285	7918	0.107166
DP	0	18	1475331	4.035424	7817	0.105799
DP	0	19	1539605	4.211230	7701	0.104229
DP	0	20	1923914	5.262418	7470	0.101103
DP	0	21	2264051	6.192784	7332	0.099235
DP	0	22	2269413	6.207450	7310	0.098937
DP	0	23	2144251	5.865099	7273	0.098437
DP	0	24	1975859	5.404502	7214	0.097638
DP	0	25	1731265	4.735472	7288	0.098640
DP	0	26	1537499	4.205470	7077	0.095784
DP	0	27	1573291	4.303371	6797	0.091994
DP	0	28	1617304	4.423758	6674	0.090329
DP	0	29	1447205	3.958492	6806	0.092116
DP	0	30	1167252	3.192746	6722	0.090979
DP	0	31	896408	2.451915	6554	0.088705
DP	0	32	641993	1.756022	6711	0.090830
DP	0	33	485096	1.326867	6658	0.090113
DP	0	34	377695	1.033097	6843	0.092617
DP	0	35	292371	0.799713	6788	0.091872
DP	0	36	225220	0.616037	6748	0.091331
DP	0	37	171950	0.470329	6671	0.090289
DP	0	38	133015	0.363832	6820	0.092306
DP	0	39	104379	0.285504	6737	0.091182
DP	0	40	82661	0.226100	6678	0.090384
DP	0	41	65677	0.179644	6750	0.091358
DP	0	42	54018	0.147754	6871	0.092996
DP	0	43	45088	0.123328	7043	0.095324
DP	0	44	38234	0.104580	7048	0.095391
DP	0	45	33300	0.091084	6951	0.094079
DP	0	46	29587	0.080928	7210	0.097584
DP	0	47	26489	0.072454	7320	0.099073
DP	0	48	24081	0.065868	7390	0.100020
DP	0	49	22196	0.060712	7410	0.100291
DP	0	50	20077	0.054916	7812	0.105732
DP	0	51	18976	0.051904	8099	0.109616
DP	0	52	17595	0.048127	8470	0.114638
DP	0	53	16771	0.045873	8695	0.117683
DP	0	54	15704	0.042955	8849	0.119767
DP	0	55	14780	0.040427	9159	0.123963
DP	0	56	14092	0.038545	9498	0.128551
DP	0	57	13463	0.036825	9740	0.131826
DP	0	58	12745	0.034861	10157	0.137470
DP	0	59	12160	0.033261	10550	0.142789
DP	0	60	11713	0.032038	10991	0.148758
DP	0	61	11447	0.031311	11322	0.153238
DP	0	62	11040	0.030197	12165	0.164648
DP	0	63	10507	0.028739	12733	0.172335
DP	0	64	10091	0.027602	13327	0.180375
DP	0	65	9929	0.027158	13769	0.186357
DP	0	66	9426	0.025783	14226	0.192542
DP	0	67	8965	0.024522	15163	0.205224
DP	0	68	8797	0.024062	15991	0.216431
DP	0	69	8494	0.023233	16893	0.228639
DP	0	70	8222	0.022489	17831	0.241334
DP	0	71	7946	0.021734	18548	0.251039
DP	0	72	7568	0.020700	19515	0.264126
DP	0	73	7452	0.020383	20374	0.275753
DP	0	74	7049	0.019281	21530	0.291399
DP	0	75	6890	0.018846	22451	0.303864
DP	0	76	6701	0.018329	23767	0.321675
DP	0	77	6317	0.017279	24918	0.337254
DP	0	78	6199	0.016956	26233	0.355051
DP	0	79	5989	0.016382	27376	0.370521
DP	0	80	5818	0.015914	28870	0.390742
DP	0	81	5565	0.015222	30090	0.407254
DP	0	82	5349	0.014631	31044	0.420166
DP	0	83	5425	0.014839	32759	0.443378
DP	0	84	5131	0.014035	34548	0.467591
DP	0	85	4847	0.013258	35978	0.486945
DP	0	86	4632	0.012670	37577	0.508587
DP	0	87	4515	0.012350	39178	0.530256
DP	0	88	4229	0.011567	41115	0.556472
DP	0	89	4264	0.011663	42947	0.581268
DP	0	90	4097	0.011206	45148	0.611057
DP	0	91	4012	0.010974	47045	0.636732
DP	0	92	3805	0.010408	49116	0.664762
