# HWE
# HWE	[2]id	[3]1st ALT allele frequency	[4]Number of observations	[5]25th percentile	[6]median	[7]75th percentile
HWE	0	0.000000	1194687	0.190000	0.190000	0.190000
HWE	0	0.190000	836243	0.390000	0.390000	0.390000
HWE	0	0.240000	70839	0.330000	0.490000	0.490000
HWE	0	0.280000	868	0.330000	0.660000	0.660000
HWE	0	0.290000	975241	0.590000	0.590000	0.590000
HWE	0	0.330000	28800	0.000000	0.490000	0.660000
HWE	0	0.370000	51842	0.660000	0.740000	0.740000
HWE	0	0.390000	762700	0.790000	0.790000	0.790000
HWE	0	0.420000	874	0.660000	0.990000	0.990000
HWE	0	0.490000	714807	0.590000	0.590000	0.990000
HWE	0	0.560000	650	0.330000	0.660000	0.990000
HWE	0	0.590000	508518	0.390000	0.790000	0.790000
HWE	0	0.610000	33526	0.330000	0.660000	0.740000
HWE	0	0.660000	16436	0.000000	0.000000	0.660000
HWE	0	0.690000	479474	0.590000	0.590000	0.590000
HWE	0	0.700000	470	0.330000	0.660000	0.660000
HWE	0	0.740000	41533	0.330000	0.490000	0.490000
HWE	0	0.790000	307227	0.390000	0.390000	0.390000
HWE	0	0.820000	8477	0.330000	0.330000	0.330000
HWE	0	0.840000	1007	0.000000	0.000000	0.330000
HWE	0	0.860000	23431	0.240000	0.240000	0.330000
HWE	0	0.890000	300879	0.190000	0.190000	0.190000
HWE	0	0.990000	1024927	0.000000	0.000000	0.000000
