# IDD, InDel distribution:
# IDD	[2]id	[3]length (deletions negative)	[4]count
IDD	0	-60	3686
IDD	0	-59	68
IDD	0	-58	123
IDD	0	-57	91
IDD	0	-56	162
IDD	0	-55	95
IDD	0	-54	181
IDD	0	-53	102
IDD	0	-52	185
IDD	0	-51	129
IDD	0	-50	272
IDD	0	-49	263
IDD	0	-48	313
IDD	0	-47	185
IDD	0	-46	238
IDD	0	-45	228
IDD	0	-44	332
IDD	0	-43	182
IDD	0	-42	355
IDD	0	-41	237
IDD	0	-40	640
IDD	0	-39	308
IDD	0	-38	496
IDD	0	-37	310
IDD	0	-36	739
IDD	0	-35	392
IDD	0	-34	700
IDD	0	-33	424
IDD	0	-32	1041
IDD	0	-31	454
IDD	0	-30	1254
IDD	0	-29	599
IDD	0	-28	1580
IDD	0	-27	833
IDD	0	-26	1594
IDD	0	-25	1182
IDD	0	-24	2683
IDD	0	-23	1164
IDD	0	-22	2279
IDD	0	-21	1414
IDD	0	-20	4647
IDD	0	-19	1729
IDD	0	-18	4174
IDD	0	-17	2160
IDD	0	-16	6940
IDD	0	-15	4406
IDD	0	-14	6495
IDD	0	-13	3753
IDD	0	-12	13821
IDD	0	-11	4926
IDD	0	-10	14063
IDD	0	-9	7573
IDD	0	-8	23997
IDD	0	-7	9702
IDD	0	-6	28880
IDD	0	-5	26447
IDD	0	-4	85178
IDD	0	-3	60425
IDD	0	-2	154804
IDD	0	-1	361597
IDD	0	1	356208
IDD	0	2	145117
IDD	0	3	51680
IDD	0	4	77746
IDD	0	5	23060
IDD	0	6	27938
IDD	0	7	8575
IDD	0	8	24240
IDD	0	9	7107
IDD	0	10	13408
IDD	0	11	4476
IDD	0	12	13419
IDD	0	13	3309
IDD	0	14	5866
IDD	0	15	4176
IDD	0	16	6665
IDD	0	17	1936
IDD	0	18	3884
IDD	0	19	1529
IDD	0	20	4420
IDD	0	21	1403
IDD	0	22	1872
IDD	0	23	975
IDD	0	24	2565
IDD	0	25	1120
IDD	0	26	1249
IDD	0	27	766
IDD	0	28	1321
IDD	0	29	527
IDD	0	30	1002
IDD	0	31	466
IDD	0	32	869
IDD	0	33	378
IDD	0	34	529
IDD	0	35	452
IDD	0	36	654
IDD	0	37	312
IDD	0	38	383
IDD	0	39	287
IDD	0	40	579
IDD	0	41	232
IDD	0	42	325
IDD	0	43	221
IDD	0	44	260
IDD	0	45	226
IDD	0	46	246
IDD	0	47	181
IDD	0	48	316
IDD	0	49	223
IDD	0	50	240
IDD	0	51	155
IDD	0	52	223
IDD	0	53	165
IDD	0	54	197
IDD	0	55	128
IDD	0	56	179
IDD	0	57	131
IDD	0	58	145
IDD	0	59	123
IDD	0	60	4404
